index,IR1,IR2,IR3,LW_speed,RW_speed
158, 46.0,43.0,51.0,26.04,33.96
159, 46.0,42.0,71.0,24.12,35.88
160, 47.0,41.0,139.0,32.25,27.75
161, 47.0,41.0,224.0,30.0,30.0
162, 48.0,41.0,247.0,30.0,30.0
163, 50.0,43.0,276.0,30.0,30.0
164, 47.0,42.0,304.0,30.0,30.0
165, 47.0,41.0,297.0,30.0,30.0
166, 49.0,41.0,255.0,30.0,30.0
167, 54.0,42.0,241.0,30.0,30.0
168, 53.0,42.0,275.0,30.0,30.0
169, 55.0,42.0,221.0,30.0,30.0
170, 113.0,41.0,152.0,37.2,22.8
171, 160.0,41.0,117.0,39.74,20.26
172, 273.0,42.0,50.0,54.53,5.47
173, 226.0,43.0,59.0,45.77,14.23
174, 51.0,42.0,177.0,22.74,37.26
175, 49.0,41.0,244.0,30.0,30.0
176, 49.0,42.0,258.0,30.0,30.0
177, 49.0,44.0,369.0,30.0,30.0
178, 53.0,43.0,250.0,30.0,30.0
179, 56.0,43.0,228.0,30.0,30.0
180, 64.0,42.0,245.0,30.0,30.0
181, 52.0,43.0,262.0,30.0,30.0
182, 52.0,44.0,241.0,30.0,30.0
183, 57.0,43.0,227.0,30.0,30.0
184, 62.0,42.0,217.0,30.0,30.0
185, 81.0,43.0,195.0,33.8,26.2
186, 63.0,43.0,193.0,28.86,31.14
187, 52.0,42.0,204.0,30.0,30.0
188, 60.0,42.0,203.0,30.0,30.0
189, 54.0,42.0,172.0,30.0,30.0
190, 63.0,42.0,164.0,30.0,30.0
191, 57.0,42.0,189.0,30.0,30.0
192, 60.0,42.0,153.0,30.0,30.0
193, 52.0,41.0,151.0,30.0,30.0
194, 49.0,42.0,177.0,30.0,30.0
195, 48.0,41.0,172.0,30.0,30.0
196, 47.0,40.0,201.0,30.0,30.0
197, 45.0,41.0,228.0,30.0,30.0
198, 46.0,41.0,256.0,30.0,30.0
199, 46.0,42.0,240.0,30.0,30.0
200, 46.0,42.0,180.0,30.0,30.0
201, 50.0,42.0,181.0,30.0,30.0
202, 123.0,41.0,260.0,38.2,21.8
203, 253.0,41.0,180.0,48.74,11.26
204, 327.0,42.0,72.0,59.34,0.66
205, 341.0,42.0,64.0,55.59,4.41
206, 156.0,42.0,188.0,30.51,29.49
207, 53.0,42.0,270.0,26.58,33.42
208, 50.0,43.0,288.0,30.0,30.0
209, 50.0,43.0,294.0,30.0,30.0
210, 55.0,43.0,250.0,30.0,30.0
211, 68.0,43.0,262.0,30.0,30.0
212, 107.0,45.0,238.0,36.2,23.8
213, 145.0,44.0,249.0,38.24,21.76
214, 151.0,45.0,255.0,37.57,22.43
215, 137.0,44.0,263.0,36.12,23.88
216, 129.0,44.0,297.0,35.71,24.29
217, 119.0,44.0,281.0,34.95,25.05
218, 80.0,44.0,265.0,31.35,28.65
219, 59.0,46.0,290.0,28.92,31.08
220, 52.0,45.0,234.0,30.0,30.0
221, 50.0,43.0,264.0,30.0,30.0
222, 54.0,43.0,255.0,30.0,30.0
223, 50.0,43.0,246.0,30.0,30.0
224, 56.0,43.0,214.0,30.0,30.0
225, 48.0,42.0,275.0,30.0,30.0
226, 51.0,41.0,163.0,30.0,30.0
227, 51.0,40.0,138.0,30.0,30.0
228, 57.0,41.0,268.0,30.0,30.0
229, 58.0,41.0,131.0,30.0,30.0
230, 62.0,41.0,168.0,30.0,30.0
231, 63.0,41.0,125.0,30.0,30.0
232, 53.0,40.0,91.0,40.4,19.6
233, 59.0,41.0,110.0,26.88,33.12
234, 52.0,41.0,101.0,30.0,30.0
235, 75.0,41.0,126.0,33.4,26.6
236, 75.0,41.0,80.0,40.38,19.62
237, 66.0,42.0,167.0,26.58,33.42
238, 69.0,42.0,164.0,30.0,30.0
239, 123.0,44.0,187.0,37.9,22.1
240, 121.0,44.0,189.0,35.33,24.67
241, 67.0,43.0,240.0,27.69,32.31
242, 72.0,43.0,234.0,30.0,30.0
243, 78.0,43.0,256.0,33.5,26.5
244, 63.0,44.0,250.0,28.95,31.05
245, 54.0,44.0,265.0,30.0,30.0
246, 55.0,44.0,265.0,30.0,30.0
247, 59.0,46.0,271.0,30.0,30.0
248, 54.0,47.0,84.0,39.1,20.9
249, 53.0,45.0,47.0,32.77,27.23
250, 60.0,46.0,45.0,34.25,25.75
251, 55.0,49.0,44.0,33.23,26.77
252, 54.0,45.0,43.0,33.7,26.3
253, 67.0,46.0,44.0,34.94,25.06
254, 51.0,45.0,45.0,33.15,26.85
255, 53.0,47.0,45.0,33.57,26.43
256, 108.0,48.0,46.0,39.07,20.93
257, 51.0,42.0,41.0,31.82,28.18
258, 43.0,38.0,39.0,32.9,27.1
259, 39.0,37.0,38.0,32.68,27.32
260, 40.0,38.0,38.0,32.8,27.2
261, 43.0,39.0,41.0,33.3,26.7
262, 49.0,36.0,39.0,33.85,26.15
263, 240.0,33.0,39.0,53.04,6.96
264, 154.0,32.0,41.0,38.92,21.08
265, 41.0,32.0,41.0,30.11,29.89
266, 40.0,33.0,38.0,33.0,27.0
267, 40.0,34.0,36.0,32.85,27.15
268, 38.0,36.0,35.0,32.44,27.56
269, 39.0,38.0,35.0,32.49,27.51
270, 39.0,39.0,35.0,32.42,27.58
271, 43.0,41.0,34.0,32.55,27.45
272, 51.0,38.0,34.0,33.62,26.38
273, 53.0,36.0,34.0,33.69,26.31
274, 151.0,35.0,34.0,43.47,16.53
275, 167.0,35.0,35.0,42.2,17.8
276, 81.0,35.0,35.0,33.09,26.91
277, 57.0,35.0,35.0,33.27,26.73
278, 75.0,36.0,38.0,35.99,24.01
279, 141.0,36.0,38.0,41.99,18.01
280, 344.0,37.0,39.0,60.31,-0.31
281, 438.0,37.0,41.0,63.82,-3.82
282, 264.0,38.0,48.0,44.14,15.86
283, 58.0,38.0,50.0,28.78,31.22
284, 51.0,37.0,50.0,34.3,25.7
285, 46.0,37.0,47.0,33.68,26.32
286, 47.0,41.0,45.0,33.42,26.58
287, 43.0,44.0,45.0,33.07,26.93
288, 41.0,48.0,46.0,33.92,26.08
289, 46.0,96.0,50.0,18.41,41.59
290, 51.0,54.0,50.0,27.7,32.3
291, 47.0,43.0,52.0,25.99,34.01
292, 49.0,40.0,43.0,26.48,33.52
293, 48.0,39.0,40.0,26.66,33.34
294, 50.0,43.0,39.0,26.87,33.13
295, 126.0,64.0,41.0,41.68,18.32
296, 109.0,113.0,50.0,32.31,27.69
297, 56.0,97.0,47.0,19.58,40.42
